No.,Name,Address,Address 2,City,Salesperson Code,Location Code,Post Code,Phone No.,Fax No.,Contact,Salesperson Code,Customer Posting Group
C0175,ROYAL FASHION-PUTTALAM,"NO.40,NEW BAZZAR,KURUNEGALA ROAD,",PUTTALAM,,BAD DEBT,VAN15,,,,,BAD DEBT,NW
C0176,RILAYA STORES - Pakeeza S/R,"NO.46, MAIN STREET ,",MORATUWA.,,SPK,SPK,,112645416,,,SPK,PK
C0177,RIGHT TIME,,EMBILIPITIYA,,BAD DEBT,VAN7,,,,,BAD DEBT,CE-2
C0178,RICHARD PIERIES-MAHA (Ner),"NO:310,HIGH LEVEL ROAD,NAVINNA,",MAHARAGAMA,,BAD DEBT,VAN12,,114310310,,,BAD DEBT,CS
C0179,RICH LOOK- M'GAMA,"NO.53, OLD ROAD,",MAHARAGAMA,,CT001,VAN3,,2845338,2845339,H.F.M.Farees(71319587/72583113/101000219461/497/64,CT001,SCT
C0180,REBOND CLOTHING,"NO:31-33, NUWARA ELIYA ROAD",WELIMADA,,ET006,VAN14,,,,Mr.M.I.W.Imams(A/C-8110000252/33010006975/601,ET006,ET
C0181,RAYMOND CUSTOM TAILORS - Accessories,"NO:184, HIGH LEVEL ROAD,",NUGEGODA.,,CS001,VAN12,,112854169,,Mr. Rayman(A/C-084304540116/0000098341/3540,CS001,CS
C0182,NISHANTHA FASHION HOUSE,"NO 91,MAIN STREET,",EMBILIPITIYA,,BAD DEBT,VAN7,,0727900260/ 047-2230197,,Mr.H.Sugath Nishantha,BAD DEBT,CE-2
C0183,RASHEED'S TAILORS,"NO.85,CASTLE STREET,",KANDY,,CE1004,VAN13,,81224445,,A/C-1002048601,CE1004,CE-1
C0184,K TEX FASHIONS,"NO.90, MAIN STREET,",THISSAMAHARAMA,,SN003,VAN11,,0475673787/077 5929158,,Mr.Kamal Thushara(A/C-090010004989/1124014399,SN003,SN
C0185,RAMMIYA TEX,"NO.594, ANURADHAPURA ROAD,",DAMBULLA,,NW003,VAN15,,,,A/C-10000117,NW003,NW
C0186,RAM BROS PVT LTD,NO 140 MAIN STREET,COLOMBO 11,,CT001,VAN3,,2320127,,A C 064001408290001,CT001,SCT
C0187,RAKSHANA'S,"174/12,THAIKA PLAZA, 2ND CROSS STREET,",COL 11,,SPK,SPK,,2381779,,,SPK,PK
C0188,RAHEEMAS,,COLOMBO 03,,BAD DEBT,VAN1,,,,,BAD DEBT,CN
C0189,RAHEEM'S,"NO.7/B, ISIPATHANA MW,",COLOMO 05,,BAD DEBT,VAN1,,114527708,,,BAD DEBT,CN
C0190,PRESTIGE TAILOURS,"NO.437 B1,GALLE RD,",PANADURA,,CT001,VAN3,,,,A/C-101000049663,CT001,SCT
C0191,PREMADASA FASHION,"837/2C, NEW KANDY RD,",MALABE,,BAD DEBT,VAN12,,,,,BAD DEBT,CS
C0192,PRASAD TEXTILES,NO 72 HORANA ROAD,PILIYANDALA,,CT001,VAN3,,2613375,2604070(P'la),Mr Prasad 31108007051 NTB 38010008255 47 6512 445,CT001,SCT
C0193,LALITHA TEXTILES (PVT) LTD - Material,"NO.200, MAIN STREET,",COLOMBO 11.,,CT001,VAN3,,2325911,,A/C-064001408299001-8278,CT001,SCT
C0194,NAVAVIS (PVT) LTD - Accessories,"NO:525, COLOMBO ROAD,",COLOMBO 4,,CN003,VAN1,,02595496/777307273,,Mr.Chaminda(A/C-,CN003,CN
C0195,ABBA INTERNATIONAL (PVT) LTD.,"NO.27/A,HORANA RD,",PANADURA,,CT001,VAN3,,382235355,,Mr. Soorya bandara-3149,CT001,SCT
C0196,DOLOSMAHE SALE SHOP,NO 11G GALLE ROAD,AMBALANGODA,,SN003,VAN11,,773279878,,,SN003,SN
C0197,LADY -J - Accessories,"NO.993, MARADANA ROAD,",COLOMBO 08.,,CN003,VAN1,,0112667668/0773021515,112667149,,CN003,CN
C0198,PETTAH TAILORS,"NO.09,KANDY ROAD,DALUGAMA.",KELANIYA.,,A SELL,VAN3,,02914031/714916818,,A/C-020010000573/56010014612/1001/66815/8540601,A SELL,SCT
C0199,PRI-MARK,"NO.83, KOTUGODELLA VEEDIYA,",KANDY,,CE1004,VAN13,,0814903276/0812350985,,A.H.S.Zulaika/M.Razwan(10125018001/10024895/695/82,CE1004,CE-1
C0200,3G FASHION,,SAMMANTHURAI,,BAD DEBT,VAN14,,,,,BAD DEBT,ET
C0201,A R M HAAJI & SONS,45 MAIN STREET,ERAVUR,,ET006,VAN14,,653652270,,A C 500001 123100180000500 22002,ET006,ET
C0202,AGE OF FASHION,,AKURANA,,CE1001,VAN13,,,,,CE1001,CE-1
C0203,AYNA EMPORIUM,,KADURUWELA,,BAD DEBT,VAN14,,,,,BAD DEBT,ET
C0204,BANKOK FASHION,,ANURADA PURA,,BAD DEBT,VAN15,,,,,BAD DEBT,NW
C0205,BOB MARLEY,,KANTHALE,,BAD DEBT,VAN15,,,,,BAD DEBT,NW
C0206,BOMBAY BAZZAR,MAIN STREET,ERAVUR,,ET006,VAN14,,652240683,,,ET006,ET
C0207,C.I.B- CHILAW,,CHILOW,,BAD DEBT,VAN15,,,,,BAD DEBT,NW
C0208,C.I.B - R'PURA,,RATHNAPURA.,,BAD DEBT,VAN7,,,,,BAD DEBT,CE-2
C0209,CENTER POINT,NO.91.GONGAWALA RD,MATALE,,CE1001,VAN13,,77333657,,Mr.T.M.Zawahir,CE1001,CE-1
C0210,CHEAP CENTER-KAHAWATTE,"NO.94,MAIN STREET,",KAHAWATTE.,,ET006,VAN14,,,,,ET006,ET
C0211,CHEAP CENTER DAMBULLA,"NO.463,KURUNEGALA JUNCTION",DAMBULLA,,NW003,VAN15,,662284866,,A/C-9010000596/493345680116,NW003,NW
C0212,CITY MAX,,KATUGASTOTA,,CE1004,VAN13,,,,25281,CE1004,CE-1
C0213,CITY POINT-Ginigathhena,,GINIGATHHENA,,CE1001,VAN13,,,,,CE1001,CE-1
C0214,DAN,,NEGAMBO,,BAD DEBT,VAN15,,,,,BAD DEBT,NW
C0215,DAZZLS,"NO.274/7 ,HIGH LEVEL ROAD, KOTTAWA",PANNIPITIYA,,AX FORCE-1,VAN12,,777567758,,Mr.K.G.D.Manjula Alwis,AX FORCE-1,CS
C0216,DESHANI DRESS POINT,"NO.334, GALLE ROAD,",KALUTARA-SOUTH,,BAD DEBT,VAN11,,,,,BAD DEBT,SN
C0217,DESIGNER CENTER,"NO.59,GALLE RD,",KALUTHARA SOUTH.,,BAD DEBT,VAN11,,,,,BAD DEBT,SN
C0218,DESIGNERS,"NO.106/1,GALLE ROAD",AMBALNGODA,,BAD DEBT,VAN11,,,,,BAD DEBT,SN
C0219,DESIGN PARK,"NO.79A, DAMBULLA ROAD (CASSIM BUILDING),",GALEWELA,,NW003,VAN15,,0663686425/077-6071959,,M.F.Marzook(A/C-1080007919),NW003,NW
C0220,DRESS LINE,"NO.92,MAIN STREET,",THANGALLAE,,A SELL,VAN11,,0474908176/716104184/779076501,,M.M.Mihlar(A/C0008893954),A SELL,SN
C0221,DURGA,"NO.125, MAIN STREET",NEGAMBO,,BAD DEBT,VAN15,,,,,BAD DEBT,NW
C0222,E NALLTHAMBY,"NO.218, MAIN STREET,",NEGOMBO.,,BAD DEBT,VAN15,,,,,BAD DEBT,NW
C0223,EVIL,,PILIMATHALAWA,,BAD DEBT,VAN13,,,,,BAD DEBT,CE-1
C0224,FAHIM TEX,"NO:66,DALADA VEEDIYA,",KANDY,,CE1004,VAN13,,812224344,,A/C-1150900556-COM,CE1004,CE-1
C0225,FAHRIYA TEX,"DEWATA,",GALLE,,SPK,SPK,,,,,SPK,PK
C0226,FAMILY FASHION,"NO.319,320,NEW WORLD MARKET COMPLEX,OLCOTT MAWATHA",COLOMBO- 11,,SPK,SPK,,714885666,,Mr.A.C.M.Aslam,SPK,PK
C0227,FASHION 1ST-REFAI,"NO.08,WILL CITY BUILDING, NEW BUS STAND,",KURUNAGALA,,CE1001,VAN13,,,,,CE1001,CE-1
C0228,FASHION GATE CITY,"NO.128 MAIN STREET, BANK SITE",ANURADAPURA,,NW003,VAN15,,0252223199/077-9005252,,A/C-48100001,NW003,NW
C0229,FASHION MART,"MORAKETIYA ROAD, PALLEGAMA",EMBILIPITIYA,,CE2001,VAN7,,472261978,,Mr.Supun Madushanka,CE2001,CE-2
C0230,FIRST CHANCE,"NO.75, STATION ROAD,",WELIGAMA,,SPK,SPK,,412250494,,,SPK,PK
C0231,KOTTON,"NO.167/1/7, GALLE ROAD,",BERUWALA,,SN003,VAN11,,0716090912/0342276778,,Mr.A.H.Safan Jiffry(A/C-140031398/007950003817),SN003,SN
C0232,FRIENDS CORNER,,BALANGODA,,BAD DEBT,VAN7,,,,,BAD DEBT,CE-2
C0233,X STYLES-NUGEGODA,"NO.144, S DE S JAYASINGHE MW,",NUGEGODA,,BAD DEBT,VAN12,,,,,BAD DEBT,CS
C0234,X STYLES-BORELLA,"NO.25, D.S.SENENAYAKE ROAD,",BORELLA.,,CS001,VAN12,,,,Mr.Assar Alli,CS001,CS
C0235,B FASHION,"NO.133, GALLE ROAD,",BERUWALA,,SN003,VAN11,,759440220,,Mr.M.S.M. Iffan(A/C-37431001/46010158998/2375,SN003,SN
C0236,WELCOME TREDERS,"NO.57 ,MARKET PLACE",ANURADAPURA,,NW001,VAN15,,253251576,,,NW001,NW
C0237,VINOLIA FASHION,"NO.146, ANAGARIKA DHARMAPALA MAWATHA,",MATARA.,,BAD DEBT,VAN11,,,,,BAD DEBT,SN
C0238,U.L.M. RAFEEK,,KALMUNAI,,BAD DEBT,VAN14,,,,,BAD DEBT,ET
C0239,TRENDY LAND,,WARAKAPOLA,,BAD DEBT,VAN13,,,,,BAD DEBT,CE-1
C0240,TOP TEX,"NO.04, REST HOUSE ROAD,",KALMUNAI.,,BAD DEBT,VAN14,,,,,BAD DEBT,ET
C0241,TOP SELECTION,NO 24 TRINCO ROAD,ERAVUR,,ET006,VAN14,,653656960,,U L M.Buhari 851001 123100150000097 851001 908 200,ET006,ET
C0242,TOP PARADISE,"NO:217/1A,MAIN STREET,",KATTHANKUDI-1,,ET006,VAN14,,,,011550000026/011550006334,ET006,ET
C0243,THUSHARA,HALAWATHA RD,KOCHCHIKADE,,BAD DEBT,VAN15,,,,,BAD DEBT,NW
C0244,THILAKA FASHION (PVT) LTD.,"NO.119.,MAIN STREET, BANK SIDE",ANURADHPURA,,BAD DEBT,VAN15,,,,,BAD DEBT,NW
C0245,THE NEXT,"WEERARATHNA CENTER,NO.294, GALLE ROAD",GALLE,,BAD DEBT,VAN11,,0344920407/077-7592772,,,BAD DEBT,SN
C0246,SUIT HOUSE,"NO.122A, MAIN STREET,",KALUTARA SOUTH,,CT001,VAN3,,0344280515/034 2225245,,Mr.M.Rafaideen M.Rizvan(A/C-8938001),CT001,SCT
C0247,SUTING SHOP- X FORCE,"NO.36-A,KARUNARATHNA BUILDING,HIGHLEVEL ROAD,",HOMAGAMA,,AX FORCE-2,VAN7,,,,,AX FORCE-2,CE-2
C0248,SUPERSMART,CHILOW ROAD,ANAMADUWA,,NW003,VAN15,,774027217,,Mr.Ranjith Perera(A/C-15788001),NW003,NW
C0249,SUNRO FASHION HOUSE,"NO.114, MAIN STREET,",ATHURUGIRIYA,,SCO01,VAN12,,0113143537/077-3712003,,Mr.W.L.S.Bandara-9294,SCO01,CS
C0250,SUNIL TEXTILES,"WATAPOYHA ROAD,",NIVITIGALA.,,BAD DEBT,VAN7,,,,,BAD DEBT,CE-2
C0251,SUMATHIPALA TAILORS,"NO.133,HILL STREET,",DEHIWALA.,,BAD DEBT,VAN12,,,,,BAD DEBT,CS
C0252,SUIT PALACE,"NO.23, DEMATAGODA ROAD,MARADANA,",COLOMBO 10.,,SPK,SPK,,,,,SPK,PK
C0253,SRIYANGA ENTREPRISES,LIBERTY PLAZA,COLOMBO 3,,BAD DEBT,VAN12,,,,,BAD DEBT,CS
C0254,SRILAL,,RUWANWELLA,,SPK,SPK,,,,,SPK,PK
C0255,Hameedia Stores Pvt Ltd,,,,,,,,,,,INTERCOMP
C0256,SMART MENS WEAR,,NEGAMBO,,BAD DEBT,VAN15,,,,,BAD DEBT,NW
C0257,SMART COLLECTION,,KOCHCHIKADE,,NW001,VAN15,,,,,NW001,NW
C0258,SIMLA DRESS MART,NO 38 MONARAGALA ROAD,WELLAWAYA,,ET006,VAN14,,552274764,,Mr Ziyam 778146001 1160900296 106010002898 17 001,ET006,ET
C0259,SIGNAGE,"NO.106-A, GALLE ROAD",BERUWALA,,BAD DEBT,VAN11,,,,,BAD DEBT,SN
C0260,SIDDEEK DRAPERY STORES - Weligama,"NO.04, JUCTION,",WELIGAMA,,CT001,VAN3,,772993121,,,CT001,PK
C0261,SHIRAN TEXTILE,,NARAMMALA,,BAD DEBT,VAN15,,,,,BAD DEBT,NW
C0262,SHIFAN FASHION TRINCO,137 N C Road,TRINCOMALI,,NW003,VAN15,,262222013,026-22226050,8244,NW003,NW
C0263,SHARMILAS,"NO.121, GALLE ROAD",MORATUWA,,BAD DEBT,VAN12,,,,,BAD DEBT,CS
C0264,CASH SALES-Colombo North,Arshard,,,CN003,VAN1,,,,,CN003,CN
C0265,SHARAS-HORANA,,HORANA,,BAD DEBT,VAN12,,,,,BAD DEBT,CS
C0266,SHARA TEX,"NO: 193/28A,MAIN STREET",KANNATOTA,,BAD DEBT,VAN7,,,,,BAD DEBT,CE-2
C0267,"SHARA DRESS POINT-R,WELLA.",,RUWANWELLA,,AX FORCE-1,VAN7,,,,,AX FORCE-1,CE-2
C0268,SHAN EMPORIUM,"NO.23, NEW TOWN",MAHIYANGANAYA,,KYM,VAN7,,,,,KYM,CE-2
C0269,B & A SMARTS,"#12, BUS STAND,",NUWARAELIYA,,AZEEM,VAN7,,0773526542/072 4369231,,Mr.Balakrishnan(A/C-10028480/5028/9173,AZEEM,CE-2
C0270,SAVEENA,,MAHARAGAMA,,BAD DEBT,VAN12,,,,,BAD DEBT,CS
C0271,SATTAR STORES,,,,SPK,SPK,,,,,SPK,PK
C0272,SARGE FASHION,"NO.42/12/9 ,RADAWANA ROAD",YAKKALA,,CE1001,VAN13,,0332248850/077-1734050,,Mr.R.A.Sunil Kithsiri Ranathunga,CE1001,CE-1
C0273,SAREE SELECTION-old,"NO.29 A , AMBAGAMUWA ROAD",GAMPOLA,,BAD DEBT,SPK,,,,,BAD DEBT,PK
C0274,SAMANMALTEXTILE,"NO.64, UDYANA ROAD,",Matara,Matara,SN003,VAN11,77,772609624,,Ms.Kumudu Mudalige,SN003,SN
C0275,SAM PLAZA ERAVR,,ERAVUR,,BAD DEBT,VAN14,,,,,BAD DEBT,ET
C0276,SAHARA DRESS MART,,,,AX FORCE-1,VAN7,,,,,AX FORCE-1,CE-2
C0277,S.S.S.FASHION,,MORATUWA,,BAD DEBT,VAN12,,,,,BAD DEBT,CS
C0278,ABSTRACT LANKA (PVT) LTD,"NO.595, NEGAMBO ROAD,",WELISARA.,,CN003,VAN1,,770679138,,Chanaka Cooray-BOC-75630330,CN003,CN
C0279,RUWAN'S TEXTILES,"NO.22, BELIATTA ROAD",TANGALLE,,AZEEM,VAN11,,0777353568/0727353568,,Mr.Harshana K. Ruwan(A/C-10002340/*1123000719),AZEEM,SN
C0280,ROYAL FASHION-KADURUWELLA,"NO:27, MAIN STREET, KADURUWELA",POLONNARUWA.,,ET006,VAN14,,,,,ET006,ET
C0281,ROCK CITY,"NO.92/5, PERAKUMBA STREET,",KURUNEGALA,,CE1004,VAN13,,,,A/C-0073282774/713447,CE1004,CE-1
C0282,RIZVI MENS WEAR-LEGAL,"NO.157 D, MAIN STREET,",MARUTHAMUNAI,,AZEEM,VAN14,,772257577,,M.F.M.Rizvi,AZEEM,ET
C0283,RIZVA TEX,"NO..165 B, MAIN STREET,",GODAKAWELA,,SPK,SPK,,0602452727/0777900255,,Mr.I.L.M.Anas,SPK,PK
C0284,RIYAL TEX,"MAIN STREET,",SAMMANTHURAI,,BAD DEBT,VAN14,,,,,BAD DEBT,ET
C0285,RICHARD PIERIES-KANDY,,KANDY,,BAD DEBT,VAN13,,,,,BAD DEBT,CE-1
C0286,RAZEEK TEXTILES,THODUWA ROAD,MADURANKULIYA.,,NW003,VAN15,,,,S.W.M.Pichai-A/C-00051023159,NW003,NW
C0287,RATHNA TAILORS - Accessories,"NEW GALLE ROAD,",MORATUWA,,CS001,VAN12,,,,A/C-2796255001,CS001,CS
C0288,RASHMI,,AWISSAWELLA,,CE2001,VAN7,,,,,CE2001,CE-2
C0289,RANJANA'S - Pakeeza,"NO:35,PALLEKADA RAOD,",AYAGAMA.,,KYM,SPK,,,,,KYM,PK
C0290,RANSILI,"360/1,MORAHAHA HANDIYE",ANGODA,,BAD DEBT,VAN12,,,,,BAD DEBT,CS
C0291,RAJA TAILOURS,"NO.588/1, COLOMBO ROAD",NITTAMBUWA,,AX FORCE-1,VAN13,,724515361,,Mr.M.J.Rajendran,AX FORCE-1,CE-1
C0292,RADIANT CHOICE,"NO.21A, WARD STREET,",GALLE,,BAD DEBT,VAN11,,,,,BAD DEBT,SN
C0293,R.I. FASHION,"NO:13A, MAIN STREET,",ATTALACHCHENAI,,ET006,VAN14,,,,Mr.Raja,ET006,ET
C0294,OVINTA,"NO.16A,KANDY ROAD,",YAKKALA,,CE1002,VAN13,,332228934,,Mr. Sanjeewa(006850000628-K.A.D.C.R.Nanayakkara),CE1002,CE-1
C0295,PRINCE & PRINCESS,"NO.245, GALLE ROAD,",MT.LAVANIA,,BAD DEBT,VAN12,,,,,BAD DEBT,CS
C0296,PRASANGA TEX,"NO.243,BANDARANAYAKE MAWATHA,",RATHNAPURA,,BAD DEBT,VAN7,,,,,BAD DEBT,CE-2
C0297,PICK'N CHOOSE,"NO.144, S.D.S. JASINGHE MAWATHA,",NUGEGODA.,,CS001,VAN12,,,,,CS001,CS
C0298,PIYARA FASHION PVT LTD,NO 112B OLD GALLE ROAD,MORATUWA,,CT001,VAN3,,0112649416/077-7374821,,Mr Pradeep Wanigasinghe A C 022010177319 2440 5884,CT001,SCT
C0299,CASH SALES-Eastern,CHAMITHA,,,ET006,VAN14,,,,,ET006,ET
C0300,PLESANTS,"NO.07,2ND FLOOR, SUPER MARKET,",NUGEGODA,,BAD DEBT,VAN12,,,,,BAD DEBT,CS
C0301,PARADISE TEXTILES,"NO:45,KALANIWELY STORES, AVISSAWELA ROAD,",KADUWELA,,KYM,VAN12,,,,,KYM,CS
C0302,PANADURA TEXTILES,"NO.386A, MAIN STREET,",PANANDURA.,,CS001,VAN12,,,,695,CS001,CS
C0303,PANDORA,NO 165 C ANGURUWATHOTA ROAD,HORANA,,CT001,VAN3,,0777720240/034-2265289,,E A D K Panduka Basnayake 4550003649 101000027139,CT001,SCT
C0304,P & A FASHION,"NO.64, DAVIDSON ROAD,",COLOMBO- 04.,,CN003,VAN1,,,,A/C-1001008562,CN003,CN
C0305,P.D.ELARIS-SANDARUWAN,"NO.60, MAIN STREET,",HETTIPOLA,,NW003,VAN15,,,,Mr.Wickramasinghe,NW003,NW
C0306,PALAYAKATS,NO 76 COLOMBO STREET,KANDY,,CE1004,VAN13,,777638505,,A C 017001683544001,CE1004,CE-1
C0307,ONALI,"NO.8,S.D.S.JAYASINGHE MAWATHA",NUGEGODA.,,BAD DEBT,VAN12,,,,,BAD DEBT,CS
C0308,OPAL,"NO.87, DE S.SENANAYAKE ROAD,",PANADURA,,BAD DEBT,VAN12,,,,,BAD DEBT,CS
C0309,OPNA COLLECTION,NO 134 STATION ROAD,HOMAGAMA,,CT001,VAN3,,112894010,,Mr Gayan A C 077010011964 8368 1158,CT001,SCT
C0310,OSAKA MENS,"NO.52,KANDY ROAD,",KIRIBATHGODA,,BAD DEBT,VAN1,,112812942,,,BAD DEBT,CN
C0311,NIROMI TRADE CENTER Accessories,NO 209 STANELY THILAKARATHNE MAWATHA,NUGEGODA,,CT001,VAN3,,0281294142/0755929706,,D M D S Gamini A C 000310019542,CT001,SCT
C0312,NIZAM TRADES,"NO.75, MAIN STREET",AKKARAIPATTU,,BAD DEBT,VAN14,,,,,BAD DEBT,ET
C0313,NO LIMIT,"NO.18, KAWDANA ROAD",DEHIWALA,,BAD DEBT,VAN12,,,,,BAD DEBT,CS
C0314,OLYMPIC TAILORS,,,,BAD DEBT,VAN7,,,,,BAD DEBT,CE-2
C0315,NEW OLYMPIC SMART HOUSE,NO 122 MAIN STREET,KALUTARA SOUTH,,CT001,VAN3,,0773531597/0714816112,,M I M Zihar 1360036883 1610697801 933,CT001,SCT
C0316,NIHAL SUPER,NO 63 BUS STAND,NITTAMBUWA,,CE1004,VAN13,,332287838,,Pathiraja SPMN A C 1650043287 500,CE1004,CE-1
C0317,NILANTHA TAILORS,NO 139 MAIN STREET,GALLE,,SN003,VAN11,,0912242443/ 077 3103893,,Mr Nilantha Manamperi,SN003,SN
C0318,NILE FASHION,"97/B,KANDY ROAD,",WARKAPOLA,,KYM,VAN13,,352267564,,,KYM,CE-1
C0319,NILSELA (PVT) LTD,,AWISSAWELLA,,BAD DEBT,VAN7,,,,,BAD DEBT,CE-2
C0320,NIMALEE GROUP -KIRIBATHGODA,"NO.42, KANDY ROAD,",KIRIBATHGODA,,BAD DEBT,VAN1,,,,,BAD DEBT,CN
C0321,NEW SRIYANI DRESS POINT,NO 37 MAIN STREET,KEGALLE,Kegalle,CE1004,VAN13,63,352222374,,A C 1210031303 316 1508 4316,CE1004,CE-1
C0322,DRESS WELL,,POTHUWIL,,SPK,SPK,,,,,SPK,PK
C0323,NEW TEX-Sellepperuma,"ULINAYADI JUNCTION,",SAMMANTHURAI,,A SELL,VAN14,,777200199,,A/C-0009047529/091010018314),A SELL,ET
C0324,NEXT - NUGEGODA,,NUGEGODA.,,BAD DEBT,VAN12,,,,,BAD DEBT,CS
C0325,NEW FASHION (DATA FASHION),"NO.12/2, DIGGALA ROAD,",KESELWATTA.,,ET006,VAN14,,,,174787590118/0400-336426209-001,ET006,ET
C0326,NEW HERCULES TAILORS,"NO:25,GROUND FLOOR,SUPER MARKET,",NUGEGODA.,,CT001,VAN3,,,,A/C-5655001,CT001,SCT
C0327,FN TEX,HIRJA JUNCTION AMPARA ROAD,SAMMANTHURAI,,ET006,VAN14,,602677459,,A C 0032675001 74985496,ET006,ET
C0328,NEW LAVILLA PILIYANDALA,"NO.107,HORANA ROAD,",PILIYANDALA,,KYM,VAN12,,,,,KYM,CS
C0329,NEW MAFAHIRA`S,,ERAVUR,,BAD DEBT,VAN14,,,,,BAD DEBT,ET
C0330,NEW MOD TAILORS,"MAIN STREET,",SAMMANTHURAI.,,ET006,VAN14,,779175475,,,ET006,ET
C0331,NEW PARIS TEXTILES,"NO.7,KOTMALE ROAD,",NAWALAPITIYA.,,CE1004,VAN13,,542222465,,Mr.Abdul Kader,CE1004,CE-1
C0332,NEW RIZWANS,"NO:05,MAIN STREET",POTHUWIL.,,ET006,VAN14,,,,,ET006,ET
C0333,NEW SELECTION - PELMADULLA,"NO.37,MAIN STREET,",PELMADULLA,,SPK,SPK,,759787644,,Mr.M.Simak,SPK,PK
C0334,NEW SELECTION - KEKIRAWA,MAIN STREET,KEKIRAWA,,BAD DEBT,VAN15,,,,,BAD DEBT,NW
C0335,NAWAMILA S,NO 205 N C ROAD,TRINCOMALEE,,NW003,VAN15,,262222551,026-2223209,2367506 31010008031 10 630 10 130 63,NW003,NW
C0336,NEGAMBO SUITING,NO 15 DAILY FAIR,NEGAMBO,,NW003,VAN15,,0770320002/031-2223338,,Mr Kelum 677463001 7463 8323,NW003,NW
C0337,NELUM YOURS 2ND SKIN,"NO.60, JANAPRIYA MW,",PANADURA,,BAD DEBT,VAN12,,71590453,,Mr.Badurdeen M.Illiyas,BAD DEBT,CS
C0338,NIMRAN TEX-NINTHAVUR,"NO.467/A,BANK ROAD,",NINTHAVUR -14,,ET006,VAN14,,,,M.L.M.A.Hameed(A/C-159010000408/3577,ET006,ET
C0339,NESTLINE SHOPPING CENTER,"NO27,BAZAR STREET",BADULLA,,A SELL,VAN14,,0552225075/077-7847283,,Mr.Hemantha (59888400015033/4650/2960/39,A SELL,ET
C0340,NEST LINE-BANDARAWELA,"NO.60, DARMAWIJAYA MW",BANDARAWELA,,ET006,VAN14,,572224707,,Sameera,ET006,ET
C0341,NEW CHARLIE,"NO.16, BAZAAR STREET,",BADULLA.,,AX FORCE-1,VAN7,,,,,AX FORCE-1,CE-2
C0342,MINA TEX,"NO:227,HOSPITAL ROAD,",NINTHAVUR.,,BAD DEBT,VAN14,,,,,BAD DEBT,ET
C0343,MINHAJ TEX,HIRJA JUNCTION,SAMMANTHURAI,,ET006,VAN14,,03770122/077-2289189,,Mrs Aliyar Jaleela AC 10157275001 091010020652 20,ET006,ET
C0344,MINNAS,"NO.105, MAIN STREET,",NEGAMBO,,NW003,VAN15,,,,A/C-024010014078/0076029087,NW003,NW
C0345,MOD EMPORIUM,"NO.173-177,HETTIWEEDIYA,",WELIGAMA,,BAD DEBT,VAN11,,0412250546/ 041-2250106,,Mr.M.H.Muhrim,BAD DEBT,SN
C0346,MOHAMED MAHAROOF,"MOULANA MARKET,2ND CROSS STREET,",COLOMBO.,,SPK,SPK,,,,,SPK,PK
C0347,MOHIDEEN S,MAIN STREET,AKKARAIPATTU,,ET006,VAN14,,,,88483,ET006,ET
C0348,MUBARAK STORES,"NO.16, NUWANA SLIYA ROAD,",WELIMADE,,BAD DEBT,VAN7,,,,,BAD DEBT,CE-2
C0349,MUBARAK TEXTILES,MAIN STREET,SAINTHAMARUTHU,,ET006,VAN14,,,,0672229194 0672222915,ET006,ET
C0350,MUCH MORE,"NO.162/7,DEHIWALA RD",MAHARAGAMA,,BAD DEBT,VAN12,,,,,BAD DEBT,CS
C0351,MUFEETHAS,No 13 3rd Cross Street,TRINCOMALEE,,NW003,VAN15,,262227440,,A C 296001,NW003,NW
C0352,NEW FASHION,POTHUVIL ROAD,AKKARAIPATTU,,ET006,VAN14,,,,M A M Ibbraheem 1 10310 57108002070 115880012 5260,ET006,ET
C0353,NADIYAS,NO 43 KOTHMALE ROAD,NAWALAPITIYA,,CE1004,VAN13,,05421224399/2222143/077-7379703,602182615,D Shamugasundaram 33 4001 8504810001 19550000116,CE1004,CE-1
C0354,MILLENIUM FASHION,"NO.19, MAIN STREET,",AMBALANTHOTA,,A SELL,VAN11,,,,Wijerathne B(3.18/62108001326/1630019430/7874/5489,A SELL,SN
C0355,MICRO TEX- NARAMMALA,,NARAMMALA,,AX FORCE-1,VAN15,,,,,AX FORCE-1,NW
C0356,NEW MICRO FASHION,NO 465 KURUNEGALA JUNCTION,DAMBULLA,,NW003,VAN15,,662284115,,Mr Riyaz A C 1540021800 9050003946 10062520,NW003,NW
C0357,MAXXMARA,"NO.190, DUTUGAMUNU STREET,",KOHUWALA,,CN003,VAN1,,74208544,,011032489444001-SEY,CN003,CN
C0358,MELEE-AZEEM,"NO:80,COLOMBO ROAD,",JA-ELA,,AZEEM,VAN1,,0115733188/011 2228288,,B.A.M.P.Perera(A/C 027000748551001/060108002099),AZEEM,CN
C0359,MANJARI-GALLE.,"NO.27,CHURCH STREET, FORT",GALLE.,,BAD DEBT,VAN11,,,,,BAD DEBT,SN
C0360,MANJARI-MORATUWA,,MORATUWA,,BAD DEBT,VAN12,,,,,BAD DEBT,CS
C0361,MANS MARKETING - Accessories,"NO:294,GALLE ROAD",KALUTARA-NORTH,,SN003,VAN11,,,,A/C-0038747001,SN003,SN
C0362,MATARA TRADERS,"MAIN STREET,",SOORIYAWEWA,,SN003,VAN11,,0472289135/047-2230012,,Mr.T.C.Munasinhe(A/C-4074001/2142/735/2013,SN003,SN
